,playlist_name,playlist_url,song_name,id,artist,popularity,danceability,energy,key,loudness,speechiness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,PLAYA,1vQoEeHAKr8OIGIMFY2yAj,Jami Faltin,51,0.859,0.565,8,-5.485,0.156,1,0.351,5.2e-06,0.109,0.957,142.065,128258,4
1,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Ikävä meitä,10G4sUXO33FT5SyRTdE4GM,Miri,39,0.559,0.729,2,-6.657,0.115,0,0.528,0.000854,0.109,0.465,191.782,165342,4
2,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Voimaa ja valoa,3F2Sm1D7m7uz1i0Ytrh19c,Yona,41,0.552,0.403,7,-9.076,0.085,1,0.566,2.05e-05,0.102,0.493,148.03,217854,4
3,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Vapaa (Mestarit),6xUyD4l2ToLbUuazyY1aHV,Ellinoora,39,0.294,0.726,10,-6.615,0.0472,0,0.00537,4.88e-05,0.126,0.0387,104.926,365038,3
4,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Kohta sataa - Vain elämää kausi 13,2FlcD6o29XKTcHCJpvTTiO,Jyrki 69,37,0.662,0.794,4,-7.423,0.0326,0,0.00554,0.742,0.168,0.631,108.049,191200,4
5,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Olkapää,5pC6HoTKUYHbMi5gaT1C4u,Ares,44,0.713,0.703,2,-5.314,0.0529,1,0.0675,0.0,0.135,0.682,140.103,134070,4
6,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Mun (Vain elämää kausi 13),3z9xhqrlMw18ibh8s4bfxO,Redrama,37,0.661,0.708,7,-7.001,0.0315,1,0.231,0.14,0.089,0.791,80.004,189138,4
7,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Päivä viimeinen (Vain elämää kausi 13),3nTy3Vpnfqji5EaYs3e8NV,Mikko Alatalo,35,0.536,0.494,0,-8.113,0.0294,0,0.0417,1.18e-05,0.153,0.357,139.987,223537,4
8,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Ei nyt (Vain elämää kausi 13),1NFnqoRxIOVjbAjlBdmh2T,Meiju Suvas,35,0.745,0.768,1,-5.362,0.0313,1,0.152,0.0,0.109,0.756,108.047,182185,4
9,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Draama - Remix,2oo4aF7LnxR3ZFkcRcctAe,Bizi,62,0.79,0.607,0,-6.194,0.124,0,0.0272,0.000137,0.199,0.627,100.016,168675,4
10,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Elän Vain Kerran,3F3PbBEcs9gCfIW9rrGHY0,90's FIN Cover Boyz & Girlz!,41,0.639,0.855,7,-5.768,0.0314,0,0.000506,0.000436,0.259,0.485,145.022,175655,4
11,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Angelina Jolie,2TrdDWKBt6BF3CktQSTPJq,Nomi,41,0.579,0.671,9,-8.643,0.0536,0,0.0864,0.0,0.0932,0.509,96.0,197532,4
12,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Vanhat valokuvat (feat. Tamu),2SZ08psvfrV5bqXJyUj6HT,Yksi Totuus,43,0.594,0.912,9,-4.385,0.0473,0,0.0961,0.0,0.105,0.815,124.995,166565,4
13,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Pupu,18QAweMMhuFOajnlWTSSMD,Olavi Uusivirta,49,0.421,0.922,8,-6.236,0.0523,1,0.00393,0.016,0.105,0.6,166.048,235436,4
14,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Hekumaa,7HNe0fHhDazz1deRPgPDwQ,Gabriel Lion,40,0.676,0.876,1,-4.295,0.027,1,0.00207,0.29,0.14,0.38,128.017,174551,4
15,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Aina (Vain elämää kausi 13),38XyKMQnMglzl8vxXlFn5v,Meiju Suvas,38,0.515,0.644,0,-6.902,0.296,1,0.0659,0.000104,0.101,0.396,93.044,207770,4
16,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Yöpuhelu,1QmSzgg5c5oenfirKRQ5kF,Intiaanikesä,43,0.652,0.819,6,-6.076,0.0356,0,0.0132,0.000335,0.291,0.805,147.994,172280,4
17,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,The Getaway - Vain elämää kausi 13,3JVldne8qlvA3184gcMAoz,Tommi Läntinen,40,0.6,0.713,6,-6.899,0.0263,0,0.0224,2.45e-05,0.157,0.832,80.044,196600,4
18,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Elossa,6cyNCbxtOzmPuPKGHfKWIJ,Juha Tapio,48,0.554,0.823,0,-6.846,0.0327,1,0.0225,0.0,0.498,0.486,135.971,240215,4
19,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Välikuolema,1v4jBEOmyYluJSBk6WUELN,Käärijä,44,0.484,0.668,1,-6.194,0.306,1,0.00752,0.000646,0.104,0.293,177.581,192717,4
20,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,Street Music (feat. Kwan) - Vain elämää kausi 13,2qMpDSfFkD9GHjyLlpsSOp,Jyrki 69,42,0.745,0.846,4,-6.182,0.0885,1,0.00198,0.0451,0.101,0.613,101.961,235200,4
21,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,GHOST,32UREaIszm0tQRGCDktgtb,Karim B,45,0.883,0.467,9,-8.878,0.0946,1,0.198,0.0,0.0994,0.833,132.017,174574,4
22,#vainsuomihitit,https://open.spotify.com/playlist/37i9dQZF1DWUvzPS8uIABd,"Vihatuin (feat. Fabe, Reino Nordin & Mikael Gabriel)",13WaSn6bd7PR7V7pQu9BF9,MD$,58,0.541,0.389,8,-9.048,0.0689,1,0.653,1.43e-06,0.251,0.437,167.426,183052,4
