,playlist_name,song_name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,New Music Friday Suomi,Pojatki itkee (feat. Lauri Haav),JVG,0,0.626,0.842,0,-5.541,1,0.0344,0.0765,2.75e-05,0.301,0.452,120.063,audio_features,398Aq5KZonfs86YxZ4X4CS,spotify:track:398Aq5KZonfs86YxZ4X4CS,https://api.spotify.com/v1/tracks/398Aq5KZonfs86YxZ4X4CS,https://api.spotify.com/v1/audio-analysis/398Aq5KZonfs86YxZ4X4CS,221025,4
1,New Music Friday Suomi,THE LONELIEST,Måneskin,0,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,audio_features,1Ame8XTX6QHY0l0ahqUhgv,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,https://api.spotify.com/v1/tracks/1Ame8XTX6QHY0l0ahqUhgv,https://api.spotify.com/v1/audio-analysis/1Ame8XTX6QHY0l0ahqUhgv,247067,4
2,New Music Friday Suomi,Marraskuu,Pasi ja Anssi,0,0.713,0.939,8,-5.934,1,0.11,0.105,0.0,0.0793,0.9,155.026,audio_features,3qqBE3c05JjCiwOHcAg5h0,spotify:track:3qqBE3c05JjCiwOHcAg5h0,https://api.spotify.com/v1/tracks/3qqBE3c05JjCiwOHcAg5h0,https://api.spotify.com/v1/audio-analysis/3qqBE3c05JjCiwOHcAg5h0,167229,4
3,New Music Friday Suomi,Believe (feat. Goodboys),ACRAZE,0,0.659,0.873,1,-5.227,0,0.0449,0.00519,0.000155,0.172,0.362,123.942,audio_features,6h5y2LCqCQudsCarn61CNE,spotify:track:6h5y2LCqCQudsCarn61CNE,https://api.spotify.com/v1/tracks/6h5y2LCqCQudsCarn61CNE,https://api.spotify.com/v1/audio-analysis/6h5y2LCqCQudsCarn61CNE,188710,4
4,New Music Friday Suomi,No Problemo,Mäkki,0,0.851,0.814,8,-4.624,1,0.0376,0.128,0.0168,0.11,0.483,130.053,audio_features,4IeK4sY0KNSy9zYVXJsesf,spotify:track:4IeK4sY0KNSy9zYVXJsesf,https://api.spotify.com/v1/tracks/4IeK4sY0KNSy9zYVXJsesf,https://api.spotify.com/v1/audio-analysis/4IeK4sY0KNSy9zYVXJsesf,150697,4
5,New Music Friday Suomi,All By Myself,Alok,0,0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,audio_features,5Hp4xFihdOE2dmDzxWcBFb,spotify:track:5Hp4xFihdOE2dmDzxWcBFb,https://api.spotify.com/v1/tracks/5Hp4xFihdOE2dmDzxWcBFb,https://api.spotify.com/v1/audio-analysis/5Hp4xFihdOE2dmDzxWcBFb,171778,4
6,New Music Friday Suomi,PLAYA,Jami Faltin,0,0.859,0.565,8,-5.485,1,0.156,0.351,5.2e-06,0.109,0.957,142.065,audio_features,1vQoEeHAKr8OIGIMFY2yAj,spotify:track:1vQoEeHAKr8OIGIMFY2yAj,https://api.spotify.com/v1/tracks/1vQoEeHAKr8OIGIMFY2yAj,https://api.spotify.com/v1/audio-analysis/1vQoEeHAKr8OIGIMFY2yAj,128258,4
7,New Music Friday Suomi,Meilläpäin,Brädi,0,0.645,0.723,6,-5.874,0,0.0262,0.2,0.0,0.173,0.51,137.964,audio_features,3DYfur3Qfdl9lqe4S1jZVI,spotify:track:3DYfur3Qfdl9lqe4S1jZVI,https://api.spotify.com/v1/tracks/3DYfur3Qfdl9lqe4S1jZVI,https://api.spotify.com/v1/audio-analysis/3DYfur3Qfdl9lqe4S1jZVI,221180,4
8,New Music Friday Suomi,Lokakuu (feat. Bizi),JVG,0,0.77,0.413,9,-8.686,0,0.267,0.403,0.000436,0.111,0.232,110.003,audio_features,2xFJFJqWsQbIQFGuvNv4Yn,spotify:track:2xFJFJqWsQbIQFGuvNv4Yn,https://api.spotify.com/v1/tracks/2xFJFJqWsQbIQFGuvNv4Yn,https://api.spotify.com/v1/audio-analysis/2xFJFJqWsQbIQFGuvNv4Yn,170829,4
9,New Music Friday Suomi,snow angels,GAYLE,0,0.753,0.552,8,-3.803,1,0.0395,0.0124,0.0,0.092,0.901,117.955,audio_features,4tyD9sivpD8NGM8KEEabAl,spotify:track:4tyD9sivpD8NGM8KEEabAl,https://api.spotify.com/v1/tracks/4tyD9sivpD8NGM8KEEabAl,https://api.spotify.com/v1/audio-analysis/4tyD9sivpD8NGM8KEEabAl,210240,4
10,New Music Friday Suomi,The Loneliest Time (feat. Rufus Wainwright),Carly Rae Jepsen,0,0.686,0.568,2,-6.196,1,0.0568,0.12,0.0,0.0991,0.486,122.969,audio_features,1sV6bR42OhPi2PL7ZPHLNi,spotify:track:1sV6bR42OhPi2PL7ZPHLNi,https://api.spotify.com/v1/tracks/1sV6bR42OhPi2PL7ZPHLNi,https://api.spotify.com/v1/audio-analysis/1sV6bR42OhPi2PL7ZPHLNi,274507,4
11,New Music Friday Suomi,Not Another Rockstar,Maisie Peters,0,0.658,0.815,3,-2.141,0,0.14,0.214,1.24e-06,0.126,0.818,91.041,audio_features,43pulC9QdGwabXUtVHYnjY,spotify:track:43pulC9QdGwabXUtVHYnjY,https://api.spotify.com/v1/tracks/43pulC9QdGwabXUtVHYnjY,https://api.spotify.com/v1/audio-analysis/43pulC9QdGwabXUtVHYnjY,149053,4
